Journal Title;"Online
ISSN";Subject Area;License types offered;Full Article Publication Charge;;
Land Degradation & Development;1099145X;Environmental Geoscience;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£3.470;€ 4.380
Language and Linguistics Compass;1749818X;General & Introductory Linguistics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Language Learning;14679922;Applied Linguistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.760;£2.540;€ 3.140
Laser & Photonics Reviews;18638899;General Physics;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Lasers in Surgery and Medicine;10969101;General Surgery;CC BY*, CC BY-NC or CC BY-NC-ND;$4.620;£3.080;€ 3.800
Latin American Policy;20417373;Latin American Politics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Law & Policy;14679930;General & Introductory Law;CC BY, CC BY-NC or CC BY-NC-ND;$3.040;£2.010;€ 2.580
Leader to Leader;15315355;Non-Profit Organizations / Management Leadership;CC BY;$2.810;£2.210;€ 2.430
Legal and Criminological Psychology;20448333;Forensic Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.120
Legislative Studies Quarterly;19399162;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.190;£2.060;€ 2.680
Limnology and Oceanography;19395590;Environmental Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.530;£2.120;€ 2.820
Limnology and Oceanography Bulletin;15396088;Environmental Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.200;£1.920;€ 2.560
Limnology and Oceanography: Methods;15415856;Environmental Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.530;£2.120;€ 2.820
Lipids;15589307;Oils & Fats;CC BY, CC BY-NC or CC BY-NC-ND;$3.589;£2.390;€ 3.020
Literacy;17414369;Literacy & Reading;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Literature Compass;17414113;General Literature;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Liver International;14783231;Hepatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.170;€ 4.000
Lubrication Science;15576833;General & Introductory Mechanical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.950;£2.590;€ 3.300
Luminescence;15227243;Analytical Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
LUTS: Lower Urinary Tract Symptoms;17575672;Urology;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.740
Macromolecular Bioscience;16165195;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Macromolecular Chemistry and Physics;15213935;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.870;€ 3.520
Macromolecular Rapid Communications;15213927;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.810
Macromolecular Reaction Engineering;18628338;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.020;£2.730;€ 3.350
Macromolecular Symposia;15213900;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.020;£2.730;€ 3.350
Macromolecular Theory and Simulations;15213919;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.090;£2.780;€ 3.410
Magnetic Resonance in Chemistry;1097458X;NMR Spectroscopy / MRI / Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$4.440;£2.960;€ 3.700
Magnetic Resonance in Medicine;15222594;Radiology & Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$3.680;£2.630;€ 3.150
Mammal Review;13652907;Animal Science & Zoology;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
Managerial and Decision Economics;10991468;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.090;€ 2.620
Marine Ecology;14390485;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.560;£2.390;€ 2.970
Marine Mammal Science;17487692;Animal Science Methods;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Mass Spectrometry Reviews;10982787;Mass Spectrometry;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£3.470;€ 4.380
Materials and Corrosion;15214176;Corrosion;CC BY, CC BY-NC or CC BY-NC-ND;$3.540;£2.350;€ 2.930
Materialwissenschaft und Werkstofftechnik;15214052;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Mathematical Finance;14679965;Business & Finance;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.590;€ 3.190
Mathematical Logic Quarterly;15213870;Logic & Foundations;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Mathematical Methods in the Applied Sciences;10991476;Mathematical Modeling;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.300;€ 4.200
Mathematika;20417942;Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.930;£2.620;€ 3.280
Mathematische Nachrichten;15222616;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Medical and Veterinary Entomology;13652915;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$4.140;£2.760;€ 3.420
Medical Anthropology Quarterly;15481387;Medical Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Medical Education;13652923;Medical Professional Development;CC BY, CC BY-NC or CC BY-NC-ND;$5.250;£3.480;€ 4.400
Medical Journal of Australia;13265377;General & Internal Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.560;€ 2.900
Medical Physics;24734209;Medical & Health Physics;CC BY, CC BY-NC or CC BY-NC-ND;$3.360;£2.230;€ 2.780
Medicinal Research Reviews;10981128;Pharmaceutical & Medicinal Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.980;£3.300;€ 4.170
Metaphilosophy;14679973;Metaphysics;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.280
Meteoritics & Planetary Science;19455100;Geochemistry & Mineralogy;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.590;€ 2.980
Metroeconomica;1467999X;Economic Theory;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
Microbiology and Immunology;13480421;Microbiology & Virology;CC BY, CC BY-NC or CC BY-NC-ND;$2.750;£1.850;€ 2.300
Microcirculation;15498719;Cardiovascular Disease;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
Microscopy Research and Technique;10970029;Microscopy;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.830;€ 3.570
Microsurgery;10982752;General Surgery;CC BY, CC BY-NC or CC BY-NC-ND;$3.780;£2.540;€ 3.150
Microwave and Optical Technology Letters;10982760;Communication Technology;CC BY, CC BY-NC or CC BY-NC-ND;$2.470;£1.670;€ 2.050
Middle East Policy;14754967;Middle Eastern Politics;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Milton Quarterly;1094348X;English Literature;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Mind & Language;14680017;Philosophy of Mind;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Mind, Brain, and Education;1751228X;Educational & School Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.440;€ 2.940
Modern Theology;14680025;Contemporary Theology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Molecular Carcinogenesis;10982744;Oncology & Radiotherapy;CC BY, CC BY-NC or CC BY-NC-ND;$4.490;£3.010;€ 3.780
Molecular Ecology;1365294X;Evolution;CC BY, CC BY-NC or CC BY-NC-ND;$5.150;£3.860;€ 4.500
Molecular Ecology Resources;17550998;Evolution;CC BY, CC BY-NC or CC BY-NC-ND;$5.250;£3.500;€ 4.430
Molecular Informatics;18681751;Computational Chemistry & Molecular Modeling;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Molecular Microbiology;13652958;Molecular Microbiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.180;€ 3.800
Molecular Nutrition & Food Research;16134133;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Molecular Oral Microbiology;20411014;Oral Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.830;€ 3.520
Molecular Reproduction and Development;10982795;Developmental Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.260;£2.840;€ 3.550
Monographs of the Society for Research in Child Development;15405834;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.670
Movement Disorders;15318257;Neurology;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Movement Disorders Clinical Practice;23301619;Neurology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Muscle & Nerve;10974598;Neurology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.610;£3.090;€ 3.830
Musculoskeletal Care;15570681;Consumer Health General;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.660
Museum Anthropology;15481379;Anthropology of Art & Media;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Music Analysis;14682249;Music;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Mycoses;14390507;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.930
Nations and Nationalism;14698129;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Natural Resources Forum;14778947;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Natural Sciences Education;21688281;Education Special Topics;CC BY, CC BY-NC or CC BY-NC-ND;$1.580;£1.260;€ 1.430
Naval Research Logistics;15206750;Applied Probability & Statistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
Near Surface Geophysics;18730604;Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.500;€ 2.850
Nephrology;14401797;Nephrology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.110;£2.700;€ 3.430
Networks;10970037;Applied Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Neurogastroenterology & Motility;13652982;Gastroenterology & Hepatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.640;£3.140;€ 3.870
Neurology and Clinical Neuroscience;20494173;Neurology;CC BY, CC BY-NC or CC BY-NC-ND;$2.870;£1.890;€ 2.380
Neuropathology;14401789;Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.870
Neuropathology and Applied Neurobiology;13652990;Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Neurourology and Urodynamics;15206777;Urology;CC BY, CC BY-NC or CC BY-NC-ND;$3.860;£2.550;€ 3.200
New Directions for Adult and Continuing Education;15360717;Adult & Continuing Education;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
New Directions for Community Colleges;15360733;Community Colleges;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
New Directions for Evaluation;1534875X;Survey Research Methods & Sampling;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
New Directions for Higher Education;15360741;Higher Education General;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
New Directions for Student Leadership;23733357;Student Affairs & Development (Higher Education);CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
New Directions for Student Services;15360695;Student Services & Counseling (Higher Education);CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
New Directions for Teaching and Learning;15360768;Teaching & Learning (Higher Education);CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
New Phytologist;14698137;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.790;£3.860;€ 4.850
New Technology, Work and Employment;1468005X;Business Technology;CC BY, CC BY-NC or CC BY-NC-ND;$3.980;£2.670;€ 3.300
New Zealand Geographer;17457939;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
NMR in Biomedicine;10991492;NMR Spectroscopy / MRI / Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$3.640;£2.440;€ 3.020
Nonprofit Management & Leadership;15427854;Management / Leadership;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Nordic Journal of Botany;17561051;Plant Science;CC BY;$2.950;£1.450;€ 2.230
Noûs;14680068;General Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Numerical Linear Algebra With Applications;10991506;Linear Algebra;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Numerical Methods for Partial Differential Equations;10982426;Differential Equations;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Nursing & Health Sciences;14422018;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Nursing In Critical Care;14785153;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Nursing Inquiry;14401800;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$4.720;£3.150;€ 3.930
Nursing Philosophy;1466769X;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
Nutrition & Dietetics;17470080;Nutrition & Dietetics General;CC BY, CC BY-NC or CC BY-NC-ND;$2.780;£1.850;€ 2.320
Nutrition Bulletin;14673010;Nutrition;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Nutrition in Clinical Practice;19412452;Nutrition & Dietetics General;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Obesity;1930739X;Obesity;CC BY*, CC BY-NC or CC BY-NC-ND;$4.980;£3.570;€ 4.220
Obesity Reviews;1467789X;Obesity;CC BY, CC BY-NC or CC BY-NC-ND;$5.450;£3.620;€ 4.600
Oceania;18344461;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Oikos;16000706;Ecology & Organismal Biology;CC BY;$3.640;£1.880;€ 2.730
OPEC Energy Review;17530237;Oil & Energy Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Ophthalmic and Physiological Optics;14751313;Vision Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.700;€ 3.350
Optimal Control Applications and Methods;10991514;Control Systems Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.020;£2.680;€ 3.350
Oral Diseases;16010825;Oral Sciences & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.990;£3.340;€ 4.200
Oral Science International;18814204;Oral Sciences & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Oral Surgery;1752248X;Oral & Maxillofacial Surgery;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.670
Orbis Litterarum;16000730;General Literature;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Orthodontics & Craniofacial Research;16016343;Orthodontics;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Otolaryngology-Head and Neck Surgery;10976817;Otolaryngology (Ear, Nose & Throat);CC BY, CC BY-NC or CC BY-NC-ND;$3.600;£2.650;€ 3.100
Oxford Bulletin of Economics and Statistics;14680084;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.560;€ 3.220
Oxford Journal of Archaeology;14680092;General & Introductory Archaeology;CC BY, CC BY-NC or CC BY-NC-ND;$2.840;£1.900;€ 2.350
Pacific Economic Review;14680106;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.280
Pacific Focus;19765118;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$2.810;£1.880;€ 2.320
Pacific Philosophical Quarterly;14680114;General Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.280
Pacing and Clinical Electrophysiology;15408159;Cardiovascular Disease;CC BY*, CC BY-NC or CC BY-NC-ND;$4.170;£2.820;€ 3.470
Packaging Technology and Science;10991522;Industrial Engineering / Manufacturing;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Paediatric and Perinatal Epidemiology;13653016;Consumer Health General;CC BY, CC BY-NC or CC BY-NC-ND;$4.770;£3.170;€ 3.940
Pain Practice;15332500;Pain Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.920;€ 3.620
Palaeontology;14754983;Paleontology, Paleobiology & Geobiology;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.300;€ 4.150
Paleoceanography and Paleoclimatology;25724525;Oceanography & Paleoceanography;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Papers in Palaeontology;20562802;Paleontology, Paleobiology & Geobiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 4.030
Parasite Immunology;13653024;Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.810;€ 3.520
Parliamentary History;17500206;Modern British History;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Particle & Particle Systems Characterization;15214117;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.360;£2.960;€ 3.640
Pathology International;14401827;Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$3.610;£2.420;€ 2.990
Peace & Change;14680130;War & Peace Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.110;€ 2.630
Pediatric Allergy and Immunology;13993038;Allergy & Clinical Immunology;CC BY, CC BY-NC or CC BY-NC-ND;$5.300;£3.510;€ 4.440
Pediatric Anesthesia;14609592;Anesthesia & Pain Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.080;£2.710;€ 3.420
Pediatric Blood & Cancer;15455017;Oncology & Radiotherapy;CC BY*, CC BY-NC or CC BY-NC-ND;$4.640;£3.040;€ 3.860
Pediatric Dermatology;15251470;Dermatology;CC BY*, CC BY-NC or CC BY-NC-ND;$3.920;£2.560;€ 3.290
Pediatric Obesity;20476310;Obesity;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Pediatric Pulmonology;10990496;Respiratory Medicine;CC BY*, CC BY-NC or CC BY-NC-ND;$4.740;£3.190;€ 3.970
Pediatric Transplantation;13993046;Transplantation;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.440;€ 3.130
Pediatrics International;1442200X;Pediatrics;CC BY, CC BY-NC or CC BY-NC-ND;$2.700;£1.800;€ 2.250
Peptide Science;24758817;Biomolecules (DNA, RNA, Peptides, etc.);CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
Periodontology 2000;16000757;Periodontology;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Permafrost and Periglacial Processes;10991530;Geomorphology;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.000;€ 3.750
Personal Relationships;14756811;Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.140;£2.100;€ 2.650
Personality and Mental Health;1932863X;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.440;€ 3.090
Personnel Psychology;17446570;Organizational & Industrial Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
Perspectives On Sexual and Reproductive Health;19312393;Population & Demography;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.070;€ 2.650
Pest Management Science;15264998;Pests, Diseases & Weeds;CC BY, CC BY-NC or CC BY-NC-ND;$5.360;£3.570;€ 4.830
Pharmaceutical Statistics;15391612;Clinical Trials;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.030
Pharmacoepidemiology and Drug Safety;10991557;Pharmacology & Pharmaceutical Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.290;€ 3.990
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy;18759114;Pharmacology & Pharmaceutical Medicine;CC BY*, CC BY-NC or CC BY-NC-ND;$4.030;£2.720;€ 3.350
Philosophical Investigations;14679205;General Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Philosophical Issues;17582237;General Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Philosophical Perspectives;15208583;General Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.280
Philosophy & Public Affairs;10884963;Social Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Philosophy and Phenomenological Research;19331592;Phenomenology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Philosophy Compass;17479991;General Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Photochemistry and Photobiology;17511097;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.870;€ 3.620
Photodermatology, Photoimmunology & Photomedicine;16000781;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.020;€ 3.810
Phycological Research;14401835;Phycology;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.560;€ 3.170
physica status solidi (a) applications and materials science;18626319;Solid State Physics;CC BY, CC BY-NC or CC BY-NC-ND;$3.780;£2.560;€ 3.150
physica status solidi (b) basic solid state physics;15213951;Solid State Physics;CC BY, CC BY-NC or CC BY-NC-ND;$3.650;£2.480;€ 3.040
physica status solidi (RRL) rapid research letters;18626270;Solid State Physics;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Physik in unserer Zeit;15213943;General Physics;CC BY, CC BY-NC or CC BY-NC-ND;$3.660;£2.420;€ 3.040
Physiologia Plantarum;13993054;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Physiological Entomology;13653032;Entomology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.540;€ 3.310
Physiotherapy Research International;14712865;Physiotherapy;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.660
Phytochemical Analysis;10991565;Analytical Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.380;£2.960;€ 3.640
Phytotherapy Research;10991573;Pharmacology & Pharmaceutical Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.300;€ 4.030
Pigment Cell & Melanoma Research;1755148X;Cell Biology;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.300;€ 4.150
Plant Biology;14388677;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Plant Breeding;14390523;Plant Development;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.810
Plant Pathology;13653059;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.640;£3.090;€ 3.870
Plant Species Biology;14421984;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$2.750;£1.850;€ 2.300
Plant, Cell & Environment;13653040;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.440;£3.610;€ 4.560
Plasma Processes and Polymers;16128869;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.830;£3.190;€ 4.010
PM&R;19341563;Physical Rehabilitation;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
PoLAR: Political and Legal Anthropology Review;15552934;Economic & Political Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Policy & Internet;19442866;Public Policy & Administration;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.330;€ 3.010
Policy Studies Journal;15410072;Public Policy & Administration;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.700;€ 3.350
Political Psychology;14679221;Psychology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.840;€ 3.520
Politics & Policy;17471346;Public Policy & Administration;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Polymer Composites;15480569;Composites;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Polymer Engineering & Science;15482634;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.270;£2.870;€ 3.570
Polymer International;10970126;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$3.890;£2.590;€ 3.500
Polymers for Advanced Technologies;10991581;Polymer processing;CC BY, CC BY-NC or CC BY-NC-ND;$4.800;£3.190;€ 3.960
Popular Culture Review;2831865X;Popular Culture;CC BY, CC-BY-NC, and CC-BY-NC-ND ;$2.780;£2.050;€ 2.420
Population and Development Review;17284457;Population & Demography;CC BY, CC BY-NC or CC BY-NC-ND;$3.190;£2.110;€ 2.680
Population Ecology;1438390X;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.000;£2.000;€ 2.500
Population, Space and Place;15448452;General & Introductory Geography;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.460;€ 3.100
Poverty & Public Policy;19442858;Public Policy & Administration;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Prenatal Diagnosis;10970223;Obstetrics & Gynecology;CC BY, CC BY-NC or CC BY-NC-ND;$4.640;£3.090;€ 3.870
Presidential Studies Quarterly;17415705;American Politics;CC BY, CC BY-NC or CC BY-NC-ND;$3.300;£2.220;€ 2.760
Proceedings in Applied Mathematics & Mechanics;16177061;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
Proceedings of the London Mathematical Society;1460244X;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$4.700;£3.120;€ 3.880
Process Safety Progress;15475913;Process Safety;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Progress in Photovoltaics: Research and Applications;1099159X;Solar Energy & Photovoltaics;CC BY, CC BY-NC or CC BY-NC-ND;$5.150;£3.450;€ 4.270
Propellants, Explosives, Pyrotechnics;15214087;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.590;€ 3.190
Protein Science;1469896X;Protein Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£2.720;€ 3.640
Proteins: Structure, Function, and Bioinformatics;10970134;Protein Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.810
Proteomics;16159861;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.650;£3.170;€ 3.850
PROTEOMICS - Clinical Applications;18628354;Cell & Molecular Biology;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Psychiatry and Clinical Neurosciences;14401819;Psychiatry;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.430;€ 2.750
Psychogeriatrics;14798301;Geriatric Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.170
